property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
house,signature global park,sohna road,0.85,7589.0,1120.0,Built Up area: 1120 (104.05 sq.m.),3,2,2,1.0,,Under Construction,,1120.0,,0,0,0,0,0,1,15,373.3333333333333
house,anamika enclave,sector 12,6.0,14493.0,4140.0,Plot area 4140(384.62 sq.m.)Built Up area: 9000 sq.ft. (836.13 sq.m.),9,9,3+,3.0,North-West,Old property,,9000.0,,0,0,0,0,0,1,9,460.0
house,sector 14 rwa,sector 14,6.5,20635.0,3150.0,Plot area 350(292.64 sq.m.),4,4,3+,2.0,,Moderate Old,,3150.0,,0,0,0,0,0,1,0,787.5
flat,sare homes,sector 92,1.18,5207.0,2266.0,Carpet area: 2266 (210.52 sq.m.),4,4,3,8.0,North,Relatively Old,,,2266.0,0,1,0,0,0,1,108,566.5
flat,paras dews,sector 106,1.15,7419.0,1550.0,Super Built up area 1760(163.51 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),3,3,3,11.0,North-East,Relatively Old,1760.0,1650.0,1550.0,0,1,0,1,0,2,174,516.6666666666666
flat,wings apartment,sector 9,1.2,6667.0,1800.0,Carpet area: 1800 (167.23 sq.m.),4,3,2,4.0,South-East,Moderate Old,,,1800.0,0,0,0,0,0,2,23,450.0
flat,gls arawali homes,sohna road,0.28,5983.0,468.0,Carpet area: 468 (43.48 sq.m.),2,2,2,3.0,,Relatively Old,,,468.0,0,0,0,0,0,1,42,234.0
house,independent,sector 23,2.7,18621.0,1450.0,Plot area 1450(134.71 sq.m.),5,5,2,3.0,East,Old property,,1450.0,,0,0,0,0,0,2,17,290.0
flat,m3m skywalk,sector 74,2.7,13380.0,2018.0,Super Built up area 2018(187.48 sq.m.),3,3,3,13.0,,New property,2018.0,,,0,0,1,0,0,1,92,672.6666666666666
flat,raheja sampada,sector 92,0.7,4453.0,1572.0,Built Up area: 1572 (146.04 sq.m.),3,3,0,7.0,,Undefined,,1572.0,,0,0,0,0,0,1,0,524.0
house,independent,sector 6,1.0,4630.0,2160.0,Built Up area: 240 (22.3 sq.m.),6,4,0,3.0,,Undefined,,240.0,,0,0,0,0,0,1,0,360.0
house,independent,sector 53,4.0,17778.0,2250.0,Plot area 250(209.03 sq.m.),5,5,2,3.0,,Relatively Old,,2250.0,,1,0,0,0,0,1,23,450.0
house,bhim garh kheri,sector 3,0.75,6410.0,1170.0,Plot area 130(108.7 sq.m.),4,2,2,2.0,West,Old property,,1170.0,,0,0,0,0,0,1,16,292.5
flat,gls arawali homes,sohna road,0.28,4938.0,567.0,Super Built up area 567(52.68 sq.m.)Built Up area: 500 sq.ft. (46.45 sq.m.)Carpet area: 467 sq.ft. (43.39 sq.m.),2,2,2,3.0,East,Relatively Old,567.0,500.0,467.0,0,0,0,0,0,2,42,283.5
house,independent,sector 28,4.5,13889.0,3240.0,Built Up area: 360 (33.45 sq.m.),4,4,0,4.0,,Undefined,,360.0,,0,0,0,0,0,1,0,810.0
flat,godrej summit,sector 104,0.85,6894.0,1233.0,Carpet area: 1450 (134.71 sq.m.),2,2,3,12.0,,Relatively Old,,,1450.0,1,0,0,0,1,1,61,616.5
house,spaze privy,sector 72,3.09,6981.0,4426.0,Built Up area: 3653 (339.37 sq.m.)Carpet area: 2922 sq.ft. (271.46 sq.m.),5,5,3+,14.0,East,Relatively Old,,3653.0,2922.0,0,1,0,0,0,2,33,885.2
flat,conscient habitat,sector 99a,0.35,6422.0,545.0,Carpet area: 545 (50.63 sq.m.),2,2,1,3.0,North-East,Relatively Old,,,545.0,0,0,0,0,0,1,62,272.5
flat,bptp mansions park prime,sector 66,3.0,10854.0,2764.0,Super Built up area 2764(256.78 sq.m.)Built Up area: 2700 sq.ft. (250.84 sq.m.)Carpet area: 2500 sq.ft. (232.26 sq.m.),4,4,3,3.0,North,Relatively Old,2764.0,2700.0,2500.0,1,1,0,1,1,2,174,691.0
flat,unitech uniworld gardens,sector 47,1.05,10532.0,997.0,Carpet area: 997 (92.62 sq.m.),2,2,2,3.0,North-East,Relatively Old,,,997.0,0,0,0,0,0,2,34,498.5
house,unitech nirvana birch court,sector 50,7.1,31430.0,2259.0,Plot area 240(22.3 sq.m.),3,3,3,1.0,East,Moderate Old,,240.0,,0,1,0,0,0,1,49,753.0
house,sector 38 rwa,sector 38,4.3,28782.0,1494.0,Plot area 166(138.8 sq.m.)Built Up area: 165 sq.yards (137.96 sq.m.)Carpet area: 164 sq.yards (137.12 sq.m.),3,9,3+,3.0,East,Relatively Old,,165.0,164.0,0,0,0,1,1,2,41,498.0
flat,ramprastha the edge towers,sector 37d,0.71,5420.0,1310.0,Super Built up area 1310(121.7 sq.m.)Built Up area: 1100 sq.ft. (102.19 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,3,10.0,South-East,New property,1310.0,1100.0,1000.0,0,0,0,0,1,1,38,655.0
flat,sbtl caladium,sector 109,1.6,6287.0,2545.0,Super Built up area 2545(236.44 sq.m.),3,3,3,9.0,North,Relatively Old,2545.0,,,0,1,0,0,0,1,75,848.3333333333334
flat,emaar palm heights,sector 77,1.75,11667.0,1500.0,Super Built up area 2025(188.13 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,3,3+,11.0,South-West,Relatively Old,2025.0,1900.0,1500.0,0,1,0,0,0,1,94,500.0
flat,sushant lok 1 builder floors,sector 43,2.5,12920.0,1935.0,Super Built up area 215(179.77 sq.m.),3,3,2,2.0,,New property,215.0,,,0,0,0,0,0,1,0,645.0
flat,ats triumph,sector 104,1.95,8515.0,2290.0,Carpet area: 2290 (212.75 sq.m.),3,3,3+,3.0,,New property,,,2290.0,0,1,0,0,0,1,69,763.3333333333334
flat,alpha corp gurgaonone,sector 84,2.2,7586.0,2900.0,Carpet area: 2900 (269.42 sq.m.),4,4,3,10.0,South,Relatively Old,,,2900.0,0,1,0,0,0,1,21,725.0
house,independent,sector 45,8.5,26235.0,3240.0,Plot area 360(301.01 sq.m.),5,4,2,1.0,North-East,Moderate Old,,3240.0,,0,1,0,1,0,2,49,648.0
flat,unitech vistas,sector 70,0.53,4801.0,1104.0,Super Built up area 1095(101.73 sq.m.),2,2,2,9.0,,Under Construction,1095.0,,,0,0,0,0,1,1,24,552.0
flat,m3m sky lofts,sector 71,0.9,13177.0,683.0,Built Up area: 683 (63.45 sq.m.),1,1,0,6.0,,New property,,683.0,,0,0,0,0,0,1,77,683.0
flat,central park flower valley,sector 33,2.3,12778.0,1800.0,Carpet area: 1800 (167.23 sq.m.),4,4,3+,5.0,North-East,New property,,,1800.0,0,1,0,1,0,1,42,450.0
house,ashok vihar phase 3 gurgaon,sector 3 phase 3 extension,0.95,8879.0,1070.0,Plot area 1070(99.41 sq.m.),4,3,2,1.0,East,Old property,,1070.0,,0,0,0,0,0,1,8,267.5
flat,ramsons kshitij,sector 95,0.35,5495.0,637.0,Built Up area: 637 (59.18 sq.m.),2,2,0,5.0,,Undefined,,637.0,,0,0,0,0,0,1,0,318.5
flat,emaar palm gardens,sector 83,3.15,8400.0,3750.0,Super Built up area 3750(348.39 sq.m.)Built Up area: 3200 sq.ft. (297.29 sq.m.)Carpet area: 2444.94 sq.ft. (227.14 sq.m.),5,7,3+,15.0,West,Relatively Old,3750.0,3200.0,2444.94,0,1,0,0,0,2,165,750.0
flat,signature global grand iva,sector 103,0.23,6534.0,352.0,Carpet area: 360 (33.45 sq.m.),1,1,1,4.0,North-East,Relatively Old,,,360.0,0,0,0,0,0,1,23,352.0
flat,m3m heights,sector 65,2.78,15200.0,1829.0,Super Built up area 1828(169.83 sq.m.),3,3,3,44.0,,Undefined,1828.0,,,0,0,0,0,0,1,56,609.6666666666666
flat,alpha corp gurgaonone,sector 84,1.5,7641.0,1963.0,Super Built up area 1963(182.37 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),3,3,3,20.0,North-West,Relatively Old,1963.0,,1700.0,0,1,0,0,0,2,37,654.3333333333334
flat,signature global synera,sector 81,0.49,6667.0,735.0,Super Built up area 735(68.28 sq.m.)Built Up area: 700 sq.ft. (65.03 sq.m.)Carpet area: 635 sq.ft. (58.99 sq.m.),2,2,3,5.0,South,Relatively Old,735.0,700.0,635.0,0,0,0,0,0,1,117,367.5
house,central park flower valley cerise floors,sector 33,1.35,11157.0,1210.0,Built Up area: 1210 (112.41 sq.m.),2,2,2,4.0,East,New property,,1210.0,,1,0,0,0,0,0,107,605.0
house,independent,sector 14,6.4,20317.0,3150.0,Plot area 350(292.64 sq.m.)Built Up area: 349 sq.yards (291.81 sq.m.)Carpet area: 348 sq.yards (290.97 sq.m.),6,6,3+,3.0,North,Old property,,349.0,348.0,0,0,0,0,1,1,35,525.0
flat,m3m sierra 68,sector 68,1.1,8987.0,1224.0,Super Built up area 1224(113.71 sq.m.)Built Up area: 1150 sq.ft. (106.84 sq.m.)Carpet area: 830 sq.ft. (77.11 sq.m.),2,2,3,1.0,North-East,Relatively Old,1224.0,1150.0,830.0,0,0,0,0,0,2,127,612.0
flat,tulip violet,sector 69,1.3,8447.0,1539.0,Super Built up area 1538(142.88 sq.m.),3,3,1,12.0,West,Relatively Old,1538.0,,,0,0,0,1,0,2,94,513.0
flat,m3m capital,sector 113,2.9,12620.0,2298.0,Carpet area: 2298 (213.49 sq.m.),4,4,3+,11.0,North,Under Construction,,,2298.0,1,1,0,0,0,1,49,574.5
flat,parsvnath green ville,sector 48,1.5,8787.0,1707.0,Super Built up area 1707(158.59 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3,1.0,North,Old property,1707.0,1600.0,1400.0,0,0,0,0,0,2,128,569.0
house,independent,sector 43,2.55,13178.0,1935.0,Built Up area: 215 (179.77 sq.m.),3,3,2,3.0,,Relatively Old,,215.0,,0,0,0,0,0,2,60,645.0
flat,dlf the arbour,sector 63,8.5,21519.0,3950.0,Built Up area: 3950 (366.97 sq.m.),4,4,0,27.0,,Undefined,,3950.0,,0,0,0,0,0,1,61,987.5
flat,raheja vedaanta,sector 108,0.65,4762.0,1365.0,Super Built up area 1365(126.81 sq.m.),2,2,2,5.0,East,Relatively Old,1365.0,,,0,0,0,1,0,2,174,682.5
flat,alpha corp gurgaonone,sector 84,2.28,8769.0,2600.0,Super Built up area 3434(319.03 sq.m.)Carpet area: 2600 sq.ft. (241.55 sq.m.),4,4,3+,8.0,South-East,Relatively Old,3434.0,,2600.0,0,1,0,0,0,1,61,650.0
flat,antriksh heights,sector 84,0.88,4822.0,1825.0,Super Built up area 1825(169.55 sq.m.),3,3,3,16.0,,Relatively Old,1825.0,,,0,0,0,1,0,1,67,608.3333333333334
flat,shapoorji pallonji joyville gurugram,sector 102,1.99,20665.0,963.0,Super Built up area 1349(125.33 sq.m.)Carpet area: 963 sq.ft. (89.47 sq.m.),2,2,2,14.0,South,New property,1349.0,,963.0,0,0,0,0,0,1,152,481.5
flat,bptp terra,sector 37d,1.4,7731.0,1811.0,Super Built up area 1811(168.25 sq.m.)Built Up area: 1711 sq.ft. (158.96 sq.m.)Carpet area: 1611 sq.ft. (149.67 sq.m.),3,3,3,5.0,South-East,Relatively Old,1811.0,1711.0,1611.0,0,0,0,0,0,2,149,603.6666666666666
house,independent,sector 3,0.68,3875.0,1755.0,Built Up area: 1755 (163.04 sq.m.),5,3,0,1.0,,Undefined,,1755.0,,0,0,0,0,0,1,0,351.0
flat,sare homes,sector 92,0.71,5354.0,1326.0,Carpet area: 1326 (123.19 sq.m.),3,3,3,2.0,North-West,Relatively Old,,,1326.0,0,0,0,1,0,1,108,442.0
flat,dlf belvedere towers,sector 25,3.7,17619.0,2100.0,Carpet area: 2100 (195.1 sq.m.),4,4,3,18.0,North-West,Old property,,,2100.0,0,1,0,0,0,2,26,525.0
flat,silverglades the melia,sohna road,0.91,6801.0,1338.0,Super Built up area 1350(125.42 sq.m.),2,2,3,1.0,,New property,1350.0,,,1,0,0,0,0,1,72,669.0
flat,tata primanti,sector 72,3.25,10545.0,3082.0,Super Built up area 3300(306.58 sq.m.),3,3,3,2.0,South,Moderate Old,3300.0,,,0,1,0,0,0,1,94,1027.3333333333333
flat,dlf the ultima,sector 81,2.2,10476.0,2100.0,Super Built up area 2100(195.1 sq.m.),3,4,3+,17.0,East,Relatively Old,2100.0,,,0,1,0,0,0,0,49,700.0
house,independent,sector 11,4.0,19753.0,2025.0,Built Up area: 225 (188.13 sq.m.)Carpet area: 180 sq.yards (150.5 sq.m.),5,4,1,2.0,North-East,Undefined,,225.0,180.0,0,0,0,0,0,1,0,405.0
flat,shree vardhman victoria,sector 70,1.78,9128.0,1950.0,Super Built up area 1950(181.16 sq.m.),3,3,3+,7.0,North-East,Relatively Old,1950.0,,,0,1,0,0,1,1,49,650.0
flat,imperia the esfera,sector 37c,0.99,5455.0,1815.0,Super Built up area 1815(168.62 sq.m.)Built Up area: 1400 sq.ft. (130.06 sq.m.)Carpet area: 1270 sq.ft. (117.99 sq.m.),3,5,3+,5.0,North-West,Relatively Old,1815.0,1400.0,1270.0,0,1,0,0,0,1,49,605.0
house,independent,sector 56,2.95,20233.0,1458.0,Built Up area: 162 (135.45 sq.m.),2,2,0,1.0,North,Undefined,,162.0,,0,0,0,0,0,1,0,729.0
flat,antriksh heights,sector 84,0.54,4459.0,1211.0,Super Built up area 1200(111.48 sq.m.),2,2,3+,17.0,North-West,Relatively Old,1200.0,,,0,0,0,0,0,1,81,605.5
flat,vatika the seven lamps,sector 82,0.85,6538.0,1300.0,Super Built up area 1300(120.77 sq.m.),2,2,2,0.0,East,Relatively Old,1300.0,,,0,0,0,0,0,2,49,650.0
flat,sidhartha ncr greens,sector 95,0.6,5576.0,1076.0,Super Built up area 1076(99.96 sq.m.),2,2,2,14.0,,Relatively Old,1076.0,,,1,0,0,0,0,1,31,538.0
house,sector 14 rwa,sector 14,6.5,26000.0,2500.0,Plot area 2500(232.26 sq.m.),5,5,0,4.0,,Moderate Old,,2500.0,,0,0,0,0,0,1,0,500.0
house,independent,sector 2,1.0,8230.0,1215.0,Plot area 135(112.88 sq.m.),3,7,3+,3.0,North,Moderate Old,,1215.0,,0,0,0,1,0,1,0,405.0
flat,the roselia 2,sector 95,0.45,6475.0,695.0,Built Up area: 695 (64.57 sq.m.)Carpet area: 595 sq.ft. (55.28 sq.m.),2,2,2,19.0,North,Undefined,,695.0,595.0,0,0,0,0,0,1,0,347.5
flat,sare homes,sector 92,0.5,4237.0,1180.0,Super Built up area 1180(109.63 sq.m.),3,3,2,1.0,North,Relatively Old,1180.0,,,0,0,0,0,0,1,26,393.3333333333333
house,independent,sector 22,4.75,20068.0,2367.0,Plot area 263(219.9 sq.m.)Built Up area: 261 sq.yards (218.23 sq.m.)Carpet area: 259 sq.yards (216.56 sq.m.),7,5,3+,3.0,South-West,Old property,,261.0,259.0,0,0,0,1,1,2,49,338.14285714285717
house,international city by sobha phase 1,sector 109,6.0,24691.0,2430.0,Plot area 270(225.75 sq.m.),4,4,3+,2.0,North-East,Relatively Old,,2430.0,,1,1,1,1,0,1,160,607.5
flat,ireo skyon,sector 60,2.12,15531.0,1365.0,Super Built up area 1365(126.81 sq.m.)Built Up area: 1350 sq.ft. (125.42 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),2,2,2,2.0,North-East,Relatively Old,1365.0,1350.0,1300.0,0,0,0,1,0,2,174,682.5
flat,dlf the skycourt,sector 86,1.59,8243.0,1929.0,Super Built up area 1929(179.21 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1548 sq.ft. (143.81 sq.m.),3,3,3,17.0,East,Relatively Old,1929.0,1700.0,1548.0,0,0,0,0,1,2,165,643.0
house,independent,sector 25,6.5,36111.0,1800.0,Plot area 200(167.23 sq.m.),4,4,3+,2.0,North-East,Moderate Old,,1800.0,,1,1,1,1,0,1,61,450.0
flat,emaar mgf palm studios,sector 66,1.7,13503.0,1259.0,Super Built up area 1185(110.09 sq.m.),2,2,2,7.0,,Relatively Old,1185.0,,,0,0,0,0,1,1,99,629.5
flat,sobha city,sector 108,2.6,15196.0,1711.0,Super Built up area 1711(158.96 sq.m.),3,3,2,11.0,South,New property,1711.0,,,0,0,0,0,0,1,49,570.3333333333334
house,suncity essel towers,sector 28,8.95,17900.0,5000.0,Plot area 5000(464.52 sq.m.),5,6,3+,4.0,,Moderate Old,,5000.0,,0,0,0,0,0,1,0,1000.0
flat,sare crescent parc,sector 92,1.44,7069.0,2037.0,Carpet area: 2040 (189.52 sq.m.),4,4,3,8.0,,Relatively Old,,,2040.0,0,0,0,0,0,1,37,509.25
flat,ambience creacions,sector 22,2.55,13710.0,1860.0,Super Built up area 1860(172.8 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3,8.0,North-East,Relatively Old,1860.0,1600.0,1400.0,0,0,0,0,1,2,125,620.0
flat,signature global park 4,sector 36,1.0,9901.0,1010.0,Carpet area: 1010 (93.83 sq.m.),3,2,3,2.0,,New property,,,1010.0,0,0,0,0,0,1,128,336.6666666666667
house,eldeco mansionz,sector 48,4.95,20599.0,2403.0,Plot area 267(223.25 sq.m.),7,7,3+,2.0,South,Old property,,2403.0,,1,1,1,1,0,2,145,343.2857142857143
flat,hector trimurti heights,sector 39,1.5,6383.0,2350.0,Carpet area: 2350 (218.32 sq.m.),4,3,3,10.0,South-East,Old property,,,2350.0,0,1,0,0,0,0,49,587.5
flat,umang winter hills,sector 77,0.86,6408.0,1342.0,Super Built up area 1342(124.68 sq.m.),2,2,2,16.0,,New property,1342.0,,,0,0,0,0,0,2,79,671.0
flat,ireo skyon,sector 60,2.15,23344.0,921.0,Super Built up area 1524(141.58 sq.m.)Built Up area: 1250 sq.ft. (116.13 sq.m.)Carpet area: 921 sq.ft. (85.56 sq.m.),2,3,2,5.0,East,Relatively Old,1524.0,1250.0,921.0,0,1,0,0,0,2,49,460.5
house,independent,sector 26,12.5,38580.0,3240.0,Plot area 360(301.01 sq.m.),5,5,3+,2.0,North,Old property,,3240.0,,1,1,1,1,0,2,79,648.0
flat,signature global park,sohna road,0.65,5637.0,1153.0,Super Built up area 1153(107.12 sq.m.),2,2,2,2.0,North-West,Relatively Old,1153.0,,,0,0,0,1,0,1,118,576.5
flat,tulip ivory,sector 70,2.35,9792.0,2400.0,Carpet area: 2400 (222.97 sq.m.),4,4,3+,10.0,East,Moderate Old,,,2400.0,0,1,0,0,0,2,65,600.0
flat,ss the leaf,sector 85,1.11,6852.0,1620.0,Super Built up area 1640(152.36 sq.m.)Built Up area: 1630 sq.ft. (151.43 sq.m.)Carpet area: 1620 sq.ft. (150.5 sq.m.),2,2,3,8.0,North,Relatively Old,1640.0,1630.0,1620.0,0,0,1,0,0,1,174,810.0
house,dlf city plots phase 2,sector 25,4.25,31481.0,1350.0,Plot area 150(125.42 sq.m.),3,2,3,2.0,North,Old property,,1350.0,,1,0,0,0,0,1,35,450.0
flat,emaar mgf emerald floors premier,sector 65,2.25,13636.0,1650.0,Super Built up area 1650(153.29 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3,3,3,3.0,South-West,Relatively Old,1650.0,1600.0,1350.0,1,1,0,0,0,2,49,550.0
flat,vatika gurgaon,sector 83,0.78,6265.0,1245.0,Super Built up area 1245(115.66 sq.m.)Built Up area: 850 sq.ft. (78.97 sq.m.)Carpet area: 790 sq.ft. (73.39 sq.m.),2,2,2,3.0,South-East,Relatively Old,1245.0,850.0,790.0,1,0,0,1,0,2,165,622.5
flat,alpha corp gurgaonone,sector 84,1.15,7497.0,1534.0,Super Built up area 1534(142.51 sq.m.)Carpet area: 1260 sq.ft. (117.06 sq.m.),2,2,3,14.0,South-East,Relatively Old,1534.0,,1260.0,1,0,0,0,0,1,28,767.0
house,spaze privy,sector 72,3.1,8486.0,3653.0,Plot area 3653(339.37 sq.m.),5,5,3+,21.0,,Relatively Old,,3653.0,,0,0,0,0,0,1,0,730.6
flat,dlf new town heights,sector 91,2.0,6966.0,2871.0,Super Built up area 2727(253.35 sq.m.),4,4,3+,16.0,East,Moderate Old,2727.0,,,1,1,0,1,0,1,65,717.75
flat,shree vardhman victoria,sector 70,1.64,8384.0,1956.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,5,3,3.0,North,Relatively Old,1950.0,,1161.0,0,1,0,0,0,1,51,652.0
flat,jammu and kashmir bank employees cghs,sector 9a,0.94,6065.0,1550.0,Carpet area: 1550 (144 sq.m.),3,3,2,5.0,East,Moderate Old,,,1550.0,0,0,0,0,0,2,85,516.6666666666666
flat,experion the heartsong,sector 108,2.08,9905.0,2100.0,Built Up area: 2631 (244.43 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),4,4,3+,3.0,East,Relatively Old,,2631.0,2100.0,0,1,0,0,0,1,126,525.0
house,independent,sector 81,0.89,8128.0,1095.0,Built Up area: 1095 (101.73 sq.m.),1,1,0,1.0,,Undefined,,1095.0,,0,0,0,0,0,1,0,1095.0
house,independent,sector 26,18.25,18250.0,10000.0,Plot area 550(51.1 sq.m.)Carpet area: 10000 sq.ft. (929.03 sq.m.),7,9,3+,4.0,East,Relatively Old,,,10000.0,1,1,1,1,0,2,77,1428.5714285714287
flat,ss the leaf,sector 85,2.13,7575.0,2812.0,Super Built up area 2812(261.24 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),4,4,3,2.0,North,Relatively Old,2812.0,2600.0,2200.0,0,0,0,0,0,1,49,703.0
flat,raheja sampada,sector 92,0.65,4745.0,1370.0,Super Built up area 1370(127.28 sq.m.),3,2,3,6.0,North-East,Relatively Old,1370.0,,,0,0,0,0,0,1,49,456.6666666666667
flat,signature global city 63a,sector 63a,1.65,15264.0,1081.0,Super Built up area 1081(100.43 sq.m.),2,2,2,1.0,,Under Construction,1081.0,,,0,0,0,0,0,1,0,540.5
house,independent,sector 25,9.9,29333.0,3375.0,Plot area 375(313.55 sq.m.),5,5,2,2.0,South-East,Moderate Old,,3375.0,,0,0,0,1,0,2,106,675.0
house,independent,sector 25,10.0,37037.0,2700.0,Plot area 300(250.84 sq.m.),5,6,3,3.0,North,Old property,,2700.0,,0,1,1,0,0,2,64,540.0
flat,emaar imperial gardens,sector 102,2.05,9875.0,2076.0,Carpet area: 2025 (188.13 sq.m.),3,4,3+,14.0,South,Relatively Old,,,2025.0,0,1,0,0,0,1,116,692.0
flat,ashiana anmol,sohna road,0.9,9464.0,951.0,Super Built up area 1275(118.45 sq.m.)Carpet area: 951 sq.ft. (88.35 sq.m.),2,2,2,13.0,South,Relatively Old,1275.0,,951.0,0,0,0,0,0,0,120,475.5
flat,pyramid urban homes 2,sector 86,0.6,8000.0,750.0,Carpet area: 750 (69.68 sq.m.),3,2,2,2.0,East,New property,,,750.0,0,0,0,0,0,1,13,250.0
flat,sobha city,sector 108,3.95,16859.0,2343.0,Super Built up area 2343(217.67 sq.m.)Carpet area: 1512 sq.ft. (140.47 sq.m.),3,4,2,15.0,West,Relatively Old,2343.0,,1512.0,0,1,0,0,0,1,49,781.0
flat,breez global heights,sohna road,0.4,6689.0,598.0,Super Built up area 950(88.26 sq.m.)Carpet area: 597.53 sq.ft. (55.51 sq.m.),2,2,2,7.0,,Relatively Old,950.0,,597.53,0,0,0,0,0,1,57,299.0
flat,ansal heights 86,sector 86,0.9,5325.0,1690.0,Built Up area: 1690 (157.01 sq.m.),3,3,2,10.0,,New property,,1690.0,,0,0,0,0,0,1,29,563.3333333333334
flat,signature andour heights,sector 71,0.37,7400.0,500.0,Super Built up area 500(46.45 sq.m.)Built Up area: 425 sq.ft. (39.48 sq.m.)Carpet area: 366.48 sq.ft. (34.05 sq.m.),1,1,2,2.0,North-East,Relatively Old,500.0,425.0,366.48,0,0,0,0,0,2,37,500.0
house,independent,sector 24,6.5,22855.0,2844.0,Plot area 316(264.22 sq.m.),4,4,2,2.0,,Old property,,2844.0,,0,0,0,1,0,1,35,711.0
flat,sare crescent parc royal greens phase 1,sector 92,1.25,5833.0,2143.0,Super Built up area 2143(199.09 sq.m.),4,4,3,20.0,East,Relatively Old,2143.0,,,0,1,0,0,0,1,60,535.75
house,independent,sector 56,4.0,26613.0,1503.0,Plot area 167(139.63 sq.m.),4,4,3+,2.0,,Relatively Old,,1503.0,,0,0,0,0,0,2,24,375.75
flat,the penthouses at the hibiscus,sector 50,8.5,8500.0,10000.0,Carpet area: 10000 (929.03 sq.m.),4,4,3,9.0,South-East,Moderate Old,,,10000.0,0,1,0,0,0,1,35,2500.0
flat,ats tourmaline,sector 109,1.5,8571.0,1750.0,Super Built up area 1750(162.58 sq.m.)Built Up area: 1466 sq.ft. (136.2 sq.m.),3,3,3+,7.0,North-East,Relatively Old,1750.0,1466.0,,0,0,0,0,0,1,165,583.3333333333334
flat,vatika emilia floors,sector 83,0.65,6190.0,1050.0,Super Built up area 1050(97.55 sq.m.)Built Up area: 950 sq.ft. (88.26 sq.m.)Carpet area: 850 sq.ft. (78.97 sq.m.),2,2,2,1.0,South,Relatively Old,1050.0,950.0,850.0,0,0,0,0,0,2,174,525.0
flat,aipl zen residences,sector 70a,1.65,13074.0,1262.0,Super Built up area 1262(117.24 sq.m.),2,2,3,23.0,North-West,New property,1262.0,,,0,0,0,0,0,1,81,631.0
flat,bptp terra,sector 37d,1.72,7850.0,2191.0,Super Built up area 2191(203.55 sq.m.),3,3,3+,10.0,South-East,Relatively Old,2191.0,,,0,1,0,0,0,1,31,730.3333333333334
flat,suncity vatsal valley,gwal pahari,1.28,9552.0,1340.0,Carpet area: 1340 (124.49 sq.m.),3,3,3,1.0,North,Relatively Old,,,1340.0,0,0,0,0,0,2,49,446.6666666666667
flat,ss the leaf,sector 85,2.1,8721.0,2408.0,Super Built up area 2408(223.71 sq.m.)Carpet area: 1685 sq.ft. (156.54 sq.m.),3,4,3+,6.0,North,Relatively Old,2408.0,,1685.0,0,1,0,0,0,1,156,802.6666666666666
house,ansals palam vihar,sector 2,2.68,17213.0,1557.0,Plot area 173(144.65 sq.m.),4,3,2,3.0,,Moderate Old,,1557.0,,0,0,1,0,0,2,74,389.25
flat,indiabulls enigma,sector 110,4.1,10567.0,3880.0,Super Built up area 3880(360.46 sq.m.)Built Up area: 3500 sq.ft. (325.16 sq.m.)Carpet area: 3000 sq.ft. (278.71 sq.m.),5,5,2,10.0,East,Relatively Old,3880.0,3500.0,3000.0,0,1,0,0,0,1,159,776.0
flat,ss the leaf,sector 85,2.1,7468.0,2812.0,Super Built up area 2812(261.24 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2400 sq.ft. (222.97 sq.m.),4,4,3,7.0,North,Relatively Old,2812.0,2600.0,2400.0,1,1,0,1,0,1,49,703.0
flat,adarsh nagar,sector 12,0.65,6190.0,1050.0,Carpet area: 1050 (97.55 sq.m.),3,3,1,1.0,North-West,New property,,,1050.0,0,0,0,0,0,2,42,350.0
house,emaar mgf marbella,sector 66,12.0,38095.0,3150.0,Plot area 350(292.64 sq.m.),5,6,3+,3.0,North-East,Relatively Old,,3150.0,,0,1,1,0,0,2,153,630.0
flat,ss the leaf,sector 85,2.3,8179.0,2812.0,Super Built up area 2812(261.24 sq.m.),4,4,3+,8.0,South,Relatively Old,2812.0,,,0,1,0,0,0,1,21,703.0
